id	org_name	paper_count	is_org	canonical_org_name	country	example1	example2	example3
102	Imperial College London	83	1	Imperial College London	UK	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9959/9501	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9910/9507	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9474/9817	
103	University of British Columbia	80	1	University of British Columbia	Canada	https://aaai.org/ojs/index.php/AAAI/article/view/4944/4817	http://proceedings.mlr.press/v97/martens19a/martens19a.pdf	https://www.aclweb.org/anthology/D12-1083.pdf	
104	University of Waterloo	80	1	University of Waterloo	Canada	https://papers.nips.cc//paper/4803-cost-sensitive-exploration-in-bayesian-reinforcement-learning.pdf	https://icml.cc/2012/papers/917.pdf	https://papers.nips.cc//paper/8017-monte-carlo-tree-search-for-constrained-pomdps.pdf	
105	National Taiwan University	80	1	National Taiwan University	Taiwan	https://www.aclweb.org/anthology/D14-1156.pdf	https://www.aclweb.org/anthology/P19-1545.pdf	https://aaai.org/ocs/index.php/AAAI/AAAI18/paper/viewFile/16174/15941	
106	Singapore Management University	79	1	Singapore Management University	Singapore	https://www.aclweb.org/anthology/P19-1564.pdf	https://papers.nips.cc//paper/9216-learning-to-self-train-for-semi-supervised-few-shot-classification.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/viewFile/9843/9778	
107	Kyoto University	79	1	Kyoto University	Japan	https://papers.nips.cc//paper/4927-sinkhorn-distances-lightspeed-computation-of-optimal-transport.pdf	https://www.aclweb.org/anthology/P16-2054.pdf	https://papers.nips.cc//paper/6038-budgeted-stream-based-active-learning-via-adaptive-submodular-maximization.pdf	
108	Adobe Research	79	1	Adobe Research	USA	http://proceedings.mlr.press/v37/regier15.pdf	https://papers.nips.cc//paper/6424-a-posteriori-error-bounds-for-joint-matrix-decomposition-problems.pdf	https://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/viewFile/12272/11599	
109	CMU	79	1	Carnegie Mellon University	USA	http://proceedings.mlr.press/v37/flaxman15.pdf	https://www.aclweb.org/anthology/D18-1382.pdf	http://proceedings.mlr.press/v37/wange15.pdf	
110	Baidu Inc	78	1	Baidu	China	https://www.aclweb.org/anthology/D18-1427.pdf	https://www.aclweb.org/anthology/P16-1033.pdf	http://proceedings.mlr.press/v48/johnson16.pdf	
111	Brown University	78	1	Brown University	USA	https://www.aclweb.org/anthology/N15-1008.pdf	https://www.aclweb.org/anthology/E14-4033.pdf	https://icml.cc/2012/papers/771.pdf	
